id,region,date,rainfall_mm,temperature_c,humidity
1281,Munnar,2025-03-09,54.6,8.2,52.2
1282,Kedarnath,2025-03-09,273.04,29.9,91.8
1283,Kargil,2025-03-09,308.86,11.4,89.7
1284,Mussoorie,2025-03-09,102.21,15.9,71.8
1285,Tawang,2025-03-09,161.09,5.1,37.9
1286,Cherrapunji,2025-03-09,234.94,12.6,38.0
1287,Pithoragarh,2025-03-09,106.0,25.3,76.6
1288,Srinagar,2025-03-09,153.47,25.3,71.7
1289,Aizawl,2025-03-09,64.35,24.5,61.1
1290,Pauri,2025-03-09,285.12,8.8,35.7
1291,Joshimath,2025-03-09,212.26,26.8,69.3
1292,Itanagar,2025-03-09,57.34,30.6,76.9
1293,Shimla,2025-03-10,235.18,11.8,66.4
1294,Manali,2025-03-10,206.28,26.1,88.1
1295,Dehradun,2025-03-10,87.48,14.2,62.5
1296,Nainital,2025-03-10,339.2,12.3,56.5
1297,Leh,2025-03-10,346.49,27.8,79.3
1298,Gangtok,2025-03-10,63.0,21.4,45.4
1299,Darjeeling,2025-03-10,297.77,22.9,60.0
1300,Munnar,2025-03-10,207.62,23.1,56.2
1301,Kedarnath,2025-03-10,122.36,10.2,55.0
1302,Kargil,2025-03-10,180.47,18.0,35.4
1303,Mussoorie,2025-03-10,64.51,19.8,87.4
1304,Tawang,2025-03-10,211.54,20.3,82.6
1305,Cherrapunji,2025-03-10,225.46,12.2,49.7
1306,Pithoragarh,2025-03-10,85.62,19.5,78.1
1307,Srinagar,2025-03-10,81.43,14.9,94.3
1308,Aizawl,2025-03-10,333.44,28.3,95.8
1309,Pauri,2025-03-10,259.97,18.3,60.4
1310,Joshimath,2025-03-10,213.94,14.2,96.7
1311,Itanagar,2025-03-10,125.36,10.7,81.8
1312,Shimla,2025-03-11,69.35,26.5,60.5
1313,Manali,2025-03-11,17.29,16.3,77.4
1314,Dehradun,2025-03-11,77.61,31.5,89.0
1315,Nainital,2025-03-11,302.95,28.3,88.7
1316,Leh,2025-03-11,223.01,12.9,97.1
1317,Gangtok,2025-03-11,195.09,19.2,77.0
1318,Darjeeling,2025-03-11,236.26,25.2,61.6
1319,Munnar,2025-03-11,83.53,20.6,73.2
1320,Kedarnath,2025-03-11,294.28,31.8,76.8
1321,Kargil,2025-03-11,195.88,13.9,63.3
1322,Mussoorie,2025-03-11,96.59,20.4,74.5
1323,Tawang,2025-03-11,102.05,20.1,36.0
1324,Cherrapunji,2025-03-11,189.2,31.6,47.4
1325,Pithoragarh,2025-03-11,71.93,8.9,77.2
1326,Srinagar,2025-03-11,223.48,12.5,51.0
1327,Aizawl,2025-03-11,322.59,25.4,62.2
1328,Pauri,2025-03-11,161.47,18.0,59.8
1329,Joshimath,2025-03-11,328.15,14.0,88.7
1330,Itanagar,2025-03-11,191.32,18.4,37.0
1331,Shimla,2025-03-12,12.03,9.8,71.6
1332,Manali,2025-03-12,308.66,26.6,45.2
1333,Dehradun,2025-03-12,291.09,28.3,75.3
1334,Nainital,2025-03-12,160.13,28.9,87.2
1335,Leh,2025-03-12,324.42,26.8,49.7
1336,Gangtok,2025-03-12,194.86,14.3,67.1
1337,Darjeeling,2025-03-12,25.68,21.6,69.5
1338,Munnar,2025-03-12,240.69,15.8,78.0
1339,Kedarnath,2025-03-12,233.13,20.8,86.3
1340,Kargil,2025-03-12,136.89,11.2,86.9
1341,Mussoorie,2025-03-12,248.15,7.6,58.0
1342,Tawang,2025-03-12,338.95,15.2,39.4
1343,Cherrapunji,2025-03-12,146.41,19.7,50.2
1344,Pithoragarh,2025-03-12,80.24,24.4,62.0
1345,Srinagar,2025-03-12,6.92,17.5,47.6
1346,Aizawl,2025-03-12,70.98,12.7,56.3
1347,Pauri,2025-03-12,93.26,20.2,63.0
1348,Joshimath,2025-03-12,45.58,11.0,45.7
1349,Itanagar,2025-03-12,131.86,31.5,35.5
1350,Shimla,2025-03-13,247.9,5.1,53.6
1351,Manali,2025-03-13,176.54,9.8,71.8
1352,Dehradun,2025-03-13,74.81,8.9,93.4
1353,Nainital,2025-03-13,40.13,23.3,43.0
1354,Leh,2025-03-13,245.56,25.3,35.5
1355,Gangtok,2025-03-13,131.45,22.1,37.7
1356,Darjeeling,2025-03-13,136.35,8.0,77.4
1357,Munnar,2025-03-13,260.78,14.9,81.7
1358,Kedarnath,2025-03-13,48.63,24.4,87.3
1359,Kargil,2025-03-13,276.0,6.8,55.7
1360,Mussoorie,2025-03-13,286.85,10.4,43.1
1361,Tawang,2025-03-13,139.64,15.6,78.0
1362,Cherrapunji,2025-03-13,261.63,11.6,85.6
1363,Pithoragarh,2025-03-13,280.52,21.0,94.8
1364,Srinagar,2025-03-13,45.59,17.4,57.5
1365,Aizawl,2025-03-13,179.32,6.7,94.0
1366,Pauri,2025-03-13,295.01,5.4,36.8
1367,Joshimath,2025-03-13,90.69,23.7,66.0
1368,Itanagar,2025-03-13,121.93,10.1,78.4
1369,Shimla,2025-03-14,313.05,20.9,39.4
1370,Manali,2025-03-14,137.39,31.2,37.0
1371,Dehradun,2025-03-14,151.42,24.9,62.2
1372,Nainital,2025-03-14,229.46,22.3,37.8
1373,Leh,2025-03-14,46.57,15.0,43.3
1374,Gangtok,2025-03-14,343.73,10.4,55.3
1375,Darjeeling,2025-03-14,32.01,30.8,55.1
1376,Munnar,2025-03-14,254.23,22.3,82.7
1377,Kedarnath,2025-03-14,325.4,29.8,79.6
1378,Kargil,2025-03-14,323.19,27.2,95.7
1379,Mussoorie,2025-03-14,262.44,13.5,85.5
1380,Tawang,2025-03-14,255.12,9.6,35.2
1381,Cherrapunji,2025-03-14,275.73,30.7,77.8
1382,Pithoragarh,2025-03-14,75.88,23.6,62.9
1383,Srinagar,2025-03-14,163.46,8.9,84.8
1384,Aizawl,2025-03-14,338.5,16.8,45.2
1385,Pauri,2025-03-14,244.34,31.6,47.8
1386,Joshimath,2025-03-14,315.15,29.9,55.2
1387,Itanagar,2025-03-14,324.51,29.5,43.0
1388,Shimla,2025-03-15,65.29,27.2,75.5
1389,Manali,2025-03-15,337.51,6.4,62.9
1390,Dehradun,2025-03-15,342.96,31.5,43.5
1391,Nainital,2025-03-15,136.87,28.6,74.5
1392,Leh,2025-03-15,142.38,26.2,97.6
1393,Gangtok,2025-03-15,148.45,24.5,93.8
1394,Darjeeling,2025-03-15,338.02,20.2,50.0
1395,Munnar,2025-03-15,349.81,17.5,49.7
1396,Kedarnath,2025-03-15,239.45,5.8,59.5
1397,Kargil,2025-03-15,81.72,31.5,88.5
1398,Mussoorie,2025-03-15,340.85,20.6,85.9
1399,Tawang,2025-03-15,234.73,14.8,91.4
1400,Cherrapunji,2025-03-15,142.61,24.3,43.7
1401,Pithoragarh,2025-03-15,87.22,22.0,72.6
1402,Srinagar,2025-03-15,77.01,16.9,94.0
1403,Aizawl,2025-03-15,218.08,19.6,57.2
1404,Pauri,2025-03-15,112.57,27.8,74.1
1405,Joshimath,2025-03-15,315.68,16.8,78.5
1406,Itanagar,2025-03-15,18.36,7.3,62.2
1407,Shimla,2025-03-16,315.77,22.1,53.0
1408,Manali,2025-03-16,151.97,8.7,85.7
1409,Dehradun,2025-03-16,46.42,19.3,59.8
1410,Nainital,2025-03-16,149.86,26.8,76.7
1411,Leh,2025-03-16,342.24,21.8,71.7
1412,Gangtok,2025-03-16,208.29,14.2,46.4
1413,Darjeeling,2025-03-16,171.22,7.5,75.6
1414,Munnar,2025-03-16,306.3,30.7,73.5
1415,Kedarnath,2025-03-16,13.52,26.6,66.5
1416,Kargil,2025-03-16,196.36,18.9,67.2
1417,Mussoorie,2025-03-16,56.85,10.4,56.1
1418,Tawang,2025-03-16,153.59,16.3,45.6
1419,Cherrapunji,2025-03-16,112.0,26.1,67.6
1420,Pithoragarh,2025-03-16,253.14,13.1,62.3
1421,Srinagar,2025-03-16,53.82,26.0,75.0
1422,Aizawl,2025-03-16,220.53,19.8,64.7
1423,Pauri,2025-03-16,99.78,18.9,53.0
1424,Joshimath,2025-03-16,242.23,8.4,43.5
1425,Itanagar,2025-03-16,314.89,22.5,57.4
1426,Shimla,2025-03-17,286.93,19.5,39.1
1427,Manali,2025-03-17,91.2,24.7,89.3
1428,Dehradun,2025-03-17,208.1,9.1,46.1
1429,Nainital,2025-03-17,161.82,26.5,53.6
1430,Leh,2025-03-17,38.23,30.6,91.5
1431,Gangtok,2025-03-17,281.62,10.7,85.7
1432,Darjeeling,2025-03-17,254.92,10.7,85.1
1433,Munnar,2025-03-17,138.17,15.8,39.4
1434,Kedarnath,2025-03-17,271.89,18.4,36.2
1435,Kargil,2025-03-17,247.35,31.1,44.2
1436,Mussoorie,2025-03-17,144.29,31.0,85.5
1437,Tawang,2025-03-17,92.05,18.8,83.6
1438,Cherrapunji,2025-03-17,197.65,20.6,55.9
1439,Pithoragarh,2025-03-17,46.49,22.0,57.9
1440,Srinagar,2025-03-17,183.05,18.8,94.1
1441,Aizawl,2025-03-17,176.28,8.3,51.5
1442,Pauri,2025-03-17,134.62,8.8,97.8
1443,Joshimath,2025-03-17,265.13,12.6,35.0
1444,Itanagar,2025-03-17,127.46,11.8,97.7
1445,Shimla,2025-03-18,280.1,18.6,81.8
1446,Manali,2025-03-18,67.48,29.4,67.5
1447,Dehradun,2025-03-18,297.51,13.4,59.3
1448,Nainital,2025-03-18,225.41,8.2,43.6
1449,Leh,2025-03-18,16.81,24.9,69.7
1450,Gangtok,2025-03-18,148.0,26.0,93.6
1451,Darjeeling,2025-03-18,19.95,11.9,51.3
1452,Munnar,2025-03-18,241.92,11.5,73.1
1453,Kedarnath,2025-03-18,276.41,24.6,81.1
1454,Kargil,2025-03-18,139.3,13.3,43.9
1455,Mussoorie,2025-03-18,261.89,6.2,56.5
1456,Tawang,2025-03-18,143.06,24.0,79.8
1457,Cherrapunji,2025-03-18,269.13,11.7,88.9
1458,Pithoragarh,2025-03-18,151.3,27.6,48.4
1459,Srinagar,2025-03-18,208.29,20.2,71.3
1460,Aizawl,2025-03-18,70.65,31.3,42.7
1461,Pauri,2025-03-18,96.84,6.8,47.9
1462,Joshimath,2025-03-18,69.45,20.2,43.3
1463,Itanagar,2025-03-18,254.48,14.7,90.2
1464,Shimla,2025-03-19,329.22,8.6,45.9
1465,Manali,2025-03-19,168.05,8.4,94.2
1466,Dehradun,2025-03-19,158.07,25.4,50.3
1467,Nainital,2025-03-19,87.82,10.4,43.6
1468,Leh,2025-03-19,340.82,15.9,73.4
1469,Gangtok,2025-03-19,8.15,16.3,78.7
1470,Darjeeling,2025-03-19,213.87,30.4,75.5
1471,Munnar,2025-03-19,308.14,6.4,54.9
1472,Kedarnath,2025-03-19,341.42,22.2,76.6
1473,Kargil,2025-03-19,239.26,21.6,75.0
1474,Mussoorie,2025-03-19,248.5,17.5,88.7
1475,Tawang,2025-03-19,256.54,14.9,51.5
1476,Cherrapunji,2025-03-19,242.53,30.3,53.5
1477,Pithoragarh,2025-03-19,174.27,24.0,91.6
1478,Srinagar,2025-03-19,35.27,23.0,78.9
1479,Aizawl,2025-03-19,332.6,20.0,62.1
1480,Pauri,2025-03-19,13.6,29.2,92.2
1481,Joshimath,2025-03-19,139.94,22.0,46.0
1482,Itanagar,2025-03-19,219.42,31.6,93.6
1483,Shimla,2025-03-20,275.94,23.7,57.9
1484,Manali,2025-03-20,90.3,21.2,72.9
1485,Dehradun,2025-03-20,200.72,10.8,76.1
1486,Nainital,2025-03-20,135.93,28.4,66.1
1487,Leh,2025-03-20,319.75,14.1,65.3
1488,Gangtok,2025-03-20,258.19,14.4,79.4
1489,Darjeeling,2025-03-20,86.31,26.9,80.5
1490,Munnar,2025-03-20,13.39,28.9,49.4
1491,Kedarnath,2025-03-20,339.99,11.4,50.2
1492,Kargil,2025-03-20,87.86,25.2,53.2
1493,Mussoorie,2025-03-20,140.11,19.2,81.6
1494,Tawang,2025-03-20,16.55,18.4,82.1
1495,Cherrapunji,2025-03-20,187.22,9.8,36.5
1496,Pithoragarh,2025-03-20,156.34,24.9,79.4
1497,Srinagar,2025-03-20,11.67,31.9,45.7
1498,Aizawl,2025-03-20,256.67,15.7,53.6
1499,Pauri,2025-03-20,193.68,5.2,45.1
1500,Joshimath,2025-03-20,290.51,30.0,61.2
1501,Itanagar,2025-03-20,103.01,12.6,73.6
1502,Shimla,2025-03-21,111.71,5.1,75.9
1503,Manali,2025-03-21,41.54,15.9,67.6
1504,Dehradun,2025-03-21,215.98,7.4,80.5
1505,Nainital,2025-03-21,309.72,15.2,77.4
1506,Leh,2025-03-21,88.5,23.4,72.1
1507,Gangtok,2025-03-21,232.76,13.9,80.7
1508,Darjeeling,2025-03-21,343.81,26.3,76.0
1509,Munnar,2025-03-21,287.73,5.9,95.2
1510,Kedarnath,2025-03-21,253.14,22.2,71.1
1511,Kargil,2025-03-21,227.35,23.3,81.6
1512,Mussoorie,2025-03-21,142.14,7.9,70.1
1513,Tawang,2025-03-21,273.83,14.8,74.1
1514,Cherrapunji,2025-03-21,79.66,13.6,53.0
1515,Pithoragarh,2025-03-21,158.25,8.6,43.1
1516,Srinagar,2025-03-21,179.48,18.7,66.9
1517,Aizawl,2025-03-21,164.85,14.7,65.8
1518,Pauri,2025-03-21,303.39,26.6,70.5
1519,Joshimath,2025-03-21,295.39,22.6,85.8
1520,Itanagar,2025-03-21,75.59,15.5,66.6
1521,Shimla,2025-03-22,33.05,15.8,54.7
1522,Manali,2025-03-22,193.7,14.9,84.5
1523,Dehradun,2025-03-22,102.5,15.2,63.3
1524,Nainital,2025-03-22,263.92,18.0,44.8
1525,Leh,2025-03-22,5.34,18.7,67.3
1526,Gangtok,2025-03-22,252.26,31.5,38.8
1527,Darjeeling,2025-03-22,60.09,30.5,81.7
1528,Munnar,2025-03-22,345.71,20.7,40.3
1529,Kedarnath,2025-03-22,24.98,19.4,44.1
1530,Kargil,2025-03-22,318.35,22.8,85.9
1531,Mussoorie,2025-03-22,213.92,8.5,51.8
1532,Tawang,2025-03-22,320.42,20.1,37.9
1533,Cherrapunji,2025-03-22,31.23,29.3,97.0
1534,Pithoragarh,2025-03-22,312.6,28.9,62.7
1535,Srinagar,2025-03-22,83.59,12.0,73.5
1536,Aizawl,2025-03-22,160.54,5.4,61.5
1537,Pauri,2025-03-22,292.53,22.2,72.9
1538,Joshimath,2025-03-22,277.16,23.6,48.8
1539,Itanagar,2025-03-22,201.81,26.1,53.9
1540,Shimla,2025-03-23,73.71,9.4,75.6
1541,Manali,2025-03-23,348.98,27.1,37.9
1542,Dehradun,2025-03-23,208.26,21.1,85.5
1543,Nainital,2025-03-23,239.27,10.7,96.6
1544,Leh,2025-03-23,326.72,11.6,96.6
1545,Gangtok,2025-03-23,56.99,24.0,69.3
1546,Darjeeling,2025-03-23,182.44,25.5,49.3
1547,Munnar,2025-03-23,36.24,6.2,89.4
1548,Kedarnath,2025-03-23,98.88,7.1,97.3
1549,Kargil,2025-03-23,259.41,22.5,62.8
1550,Mussoorie,2025-03-23,78.62,27.7,60.7
1551,Tawang,2025-03-23,319.02,14.2,50.7
1552,Cherrapunji,2025-03-23,171.58,31.5,71.1
1553,Pithoragarh,2025-03-23,270.74,29.1,83.1
1554,Srinagar,2025-03-23,55.23,10.1,38.4
1555,Aizawl,2025-03-23,275.29,10.0,44.1
1556,Pauri,2025-03-23,159.43,15.0,97.6
1557,Joshimath,2025-03-23,206.12,30.2,61.2
1558,Itanagar,2025-03-23,95.31,18.9,90.7
1559,Shimla,2025-03-24,72.74,7.3,72.7
1560,Manali,2025-03-24,236.72,28.7,51.9
1561,Dehradun,2025-03-24,76.93,16.5,94.8
1562,Nainital,2025-03-24,327.81,27.1,73.7
1563,Leh,2025-03-24,123.92,31.8,72.2
1564,Gangtok,2025-03-24,235.01,9.4,93.7
1565,Darjeeling,2025-03-24,9.66,23.3,82.9
1566,Munnar,2025-03-24,206.02,24.5,83.6
1567,Kedarnath,2025-03-24,195.46,11.7,95.6
1568,Kargil,2025-03-24,137.07,11.9,94.1
1569,Mussoorie,2025-03-24,273.87,29.1,67.4
1570,Tawang,2025-03-24,162.07,27.7,59.3
1571,Cherrapunji,2025-03-24,53.22,8.4,59.2
1572,Pithoragarh,2025-03-24,267.01,29.3,80.6
1573,Srinagar,2025-03-24,105.23,5.6,38.7
1574,Aizawl,2025-03-24,102.67,8.9,61.4
1575,Pauri,2025-03-24,38.66,13.3,39.4
1576,Joshimath,2025-03-24,75.63,14.6,86.1
1577,Itanagar,2025-03-24,341.54,15.2,48.5
1578,Shimla,2025-03-25,316.49,19.8,37.3
1579,Manali,2025-03-25,186.04,18.8,40.2
1580,Dehradun,2025-03-25,45.63,27.8,58.1
1581,Nainital,2025-03-25,110.87,16.3,93.5
1582,Leh,2025-03-25,336.23,5.8,95.5
1583,Gangtok,2025-03-25,188.4,23.8,76.9
1584,Darjeeling,2025-03-25,216.53,30.7,63.8
1585,Munnar,2025-03-25,324.81,13.7,89.7
1586,Kedarnath,2025-03-25,174.66,16.6,45.2
1587,Kargil,2025-03-25,328.95,6.7,76.0
1588,Mussoorie,2025-03-25,300.02,19.7,85.2
1589,Tawang,2025-03-25,201.28,21.1,50.7
1590,Cherrapunji,2025-03-25,328.67,13.1,55.4
1591,Pithoragarh,2025-03-25,43.07,14.3,91.1
1592,Srinagar,2025-03-25,97.71,9.1,48.1
1593,Aizawl,2025-03-25,71.68,16.5,87.0
1594,Pauri,2025-03-25,77.93,13.7,45.1
1595,Joshimath,2025-03-25,349.6,12.9,97.6
1596,Itanagar,2025-03-25,157.45,29.8,84.9
1597,Shimla,2025-03-26,236.03,6.8,55.4
1598,Manali,2025-03-26,334.63,10.5,88.5
1599,Dehradun,2025-03-26,330.53,9.0,80.2
1600,Nainital,2025-03-26,23.37,7.6,41.8
1601,Leh,2025-03-26,345.55,31.9,74.6
1602,Gangtok,2025-03-26,151.31,15.0,81.0
1603,Darjeeling,2025-03-26,112.34,8.2,62.5
1604,Munnar,2025-03-26,217.24,28.8,45.9
1605,Kedarnath,2025-03-26,33.29,18.7,39.5
1606,Kargil,2025-03-26,293.08,21.9,62.9
1607,Mussoorie,2025-03-26,73.63,18.0,46.8
1608,Tawang,2025-03-26,271.59,11.1,47.7
1609,Cherrapunji,2025-03-26,67.07,23.6,94.9
1610,Pithoragarh,2025-03-26,107.08,27.1,55.6
1611,Srinagar,2025-03-26,61.95,30.4,72.5
1612,Aizawl,2025-03-26,275.27,18.3,74.4
1613,Pauri,2025-03-26,234.39,18.4,64.4
1614,Joshimath,2025-03-26,88.02,28.1,89.0
1615,Itanagar,2025-03-26,102.44,14.6,65.6
1616,Shimla,2025-03-27,56.0,5.1,97.0
1617,Manali,2025-03-27,226.7,27.6,75.9
1618,Dehradun,2025-03-27,155.23,8.4,45.5
1619,Nainital,2025-03-27,99.51,21.6,62.2
1620,Leh,2025-03-27,226.49,19.2,90.2
1621,Gangtok,2025-03-27,157.97,12.5,86.1
1622,Darjeeling,2025-03-27,148.7,12.4,83.0
1623,Munnar,2025-03-27,97.99,22.0,85.0
1624,Kedarnath,2025-03-27,223.95,25.7,67.5
1625,Kargil,2025-03-27,119.55,17.7,64.3
1626,Mussoorie,2025-03-27,243.47,20.7,92.0
1627,Tawang,2025-03-27,98.36,20.8,38.1
1628,Cherrapunji,2025-03-27,196.45,15.6,86.5
1629,Pithoragarh,2025-03-27,189.88,9.7,44.1
1630,Srinagar,2025-03-27,121.76,26.9,85.1
1631,Aizawl,2025-03-27,342.2,9.4,57.9
1632,Pauri,2025-03-27,287.19,10.2,95.4
1633,Joshimath,2025-03-27,221.55,28.4,77.0
1634,Itanagar,2025-03-27,320.24,18.7,39.0
1635,Shimla,2025-03-28,163.43,26.1,41.2
1636,Manali,2025-03-28,15.38,31.2,94.6
1637,Dehradun,2025-03-28,196.9,19.2,68.7
1638,Nainital,2025-03-28,188.65,18.1,64.4
1639,Leh,2025-03-28,89.24,8.3,79.7
1640,Gangtok,2025-03-28,215.98,14.2,82.2
1641,Darjeeling,2025-03-28,74.1,8.3,92.6
1642,Munnar,2025-03-28,119.72,29.4,69.8
1643,Kedarnath,2025-03-28,272.45,10.3,83.9
1644,Kargil,2025-03-28,230.91,14.3,81.4
1645,Mussoorie,2025-03-28,205.96,18.4,73.9
1646,Tawang,2025-03-28,269.45,8.7,57.7
1647,Cherrapunji,2025-03-28,130.45,31.1,77.2
1648,Pithoragarh,2025-03-28,316.21,8.3,57.8
1649,Srinagar,2025-03-28,283.57,26.7,42.0
1650,Aizawl,2025-03-28,71.77,8.6,58.4
1651,Pauri,2025-03-28,290.89,27.8,92.9
1652,Joshimath,2025-03-28,255.37,10.4,40.8
1653,Itanagar,2025-03-28,342.14,5.7,83.9
1654,Shimla,2025-03-29,211.62,24.3,69.4
1655,Manali,2025-03-29,266.21,10.4,57.2
1656,Dehradun,2025-03-29,44.07,6.8,73.2
1657,Nainital,2025-03-29,23.3,21.5,91.5
1658,Leh,2025-03-29,199.72,22.1,65.5
1659,Gangtok,2025-03-29,130.3,31.7,50.7
1660,Darjeeling,2025-03-29,291.62,20.4,58.1
1661,Munnar,2025-03-29,80.75,21.8,39.6
1662,Kedarnath,2025-03-29,212.77,16.0,53.8
1663,Kargil,2025-03-29,9.64,10.8,83.3
1664,Mussoorie,2025-03-29,231.16,14.4,93.3
1665,Tawang,2025-03-29,154.66,18.9,44.8
1666,Cherrapunji,2025-03-29,32.46,23.4,51.2
1667,Pithoragarh,2025-03-29,321.02,6.6,59.3
1668,Srinagar,2025-03-29,125.34,7.7,74.2
1669,Aizawl,2025-03-29,312.56,19.5,75.7
1670,Pauri,2025-03-29,159.68,14.7,70.3
1671,Joshimath,2025-03-29,36.24,28.2,44.2
1672,Itanagar,2025-03-29,208.43,15.5,49.9
1673,Shimla,2025-03-30,262.65,22.3,58.6
1674,Manali,2025-03-30,236.12,20.2,91.8
1675,Dehradun,2025-03-30,159.11,11.7,68.4
1676,Nainital,2025-03-30,85.06,28.1,50.3
1677,Leh,2025-03-30,256.23,22.1,79.8
1678,Gangtok,2025-03-30,229.19,7.7,55.0
1679,Darjeeling,2025-03-30,57.29,29.5,85.7
1680,Munnar,2025-03-30,137.54,23.8,93.9
1681,Kedarnath,2025-03-30,31.14,18.5,89.6
1682,Kargil,2025-03-30,263.14,23.8,53.2
1683,Mussoorie,2025-03-30,302.99,27.6,47.3
1684,Tawang,2025-03-30,111.44,22.0,38.5
1685,Cherrapunji,2025-03-30,209.61,18.0,85.8
1686,Pithoragarh,2025-03-30,48.09,15.9,65.5
1687,Srinagar,2025-03-30,39.97,8.7,53.7
1688,Aizawl,2025-03-30,21.82,21.7,93.1
1689,Pauri,2025-03-30,32.01,6.2,61.4
1690,Joshimath,2025-03-30,283.56,22.7,82.5
1691,Itanagar,2025-03-30,96.1,9.7,54.5
1692,Shimla,2025-03-31,171.2,19.4,56.1
1693,Manali,2025-03-31,300.13,15.8,55.2
1694,Dehradun,2025-03-31,45.55,30.5,86.1
1695,Nainital,2025-03-31,129.28,6.0,65.0
1696,Leh,2025-03-31,171.88,23.6,44.9
1697,Gangtok,2025-03-31,166.41,28.2,90.1
1698,Darjeeling,2025-03-31,165.34,5.3,46.2
1699,Munnar,2025-03-31,290.9,25.9,35.7
1700,Kedarnath,2025-03-31,58.59,25.1,48.7
1701,Kargil,2025-03-31,253.38,23.1,78.1
1702,Mussoorie,2025-03-31,241.17,12.9,74.8
1703,Tawang,2025-03-31,302.78,18.4,79.8
1704,Cherrapunji,2025-03-31,74.95,16.7,41.8
1705,Pithoragarh,2025-03-31,18.92,24.9,92.5
1706,Srinagar,2025-03-31,229.54,25.5,77.0
1707,Aizawl,2025-03-31,19.44,18.9,65.8
1708,Pauri,2025-03-31,62.42,5.6,77.6
1709,Joshimath,2025-03-31,247.38,18.1,70.9
1710,Itanagar,2025-03-31,97.02,24.3,94.7
1711,Shimla,2025-04-01,13.38,10.7,67.5
1712,Manali,2025-04-01,97.56,22.7,47.4
1713,Dehradun,2025-04-01,315.5,7.5,94.0
1714,Nainital,2025-04-01,91.58,30.6,60.1
1715,Leh,2025-04-01,224.11,16.3,73.9
1716,Gangtok,2025-04-01,94.61,5.3,46.6
1717,Darjeeling,2025-04-01,324.7,21.5,35.8
1718,Munnar,2025-04-01,30.03,31.3,37.1
1719,Kedarnath,2025-04-01,110.41,19.5,96.9
1720,Kargil,2025-04-01,210.72,18.3,65.0
1721,Mussoorie,2025-04-01,172.65,9.9,42.0
1722,Tawang,2025-04-01,61.79,17.8,49.2
1723,Cherrapunji,2025-04-01,22.57,16.2,79.7
1724,Pithoragarh,2025-04-01,182.79,24.1,81.6
1725,Srinagar,2025-04-01,135.24,15.4,76.5
1726,Aizawl,2025-04-01,164.49,31.8,92.0
1727,Pauri,2025-04-01,97.01,27.4,75.9
1728,Joshimath,2025-04-01,39.76,23.1,35.6
1729,Itanagar,2025-04-01,65.61,21.1,43.3
1730,Shimla,2025-04-02,244.51,10.6,84.9
1731,Manali,2025-04-02,141.8,29.4,37.3
1732,Dehradun,2025-04-02,144.96,13.8,81.3
1733,Nainital,2025-04-02,313.92,25.4,93.6
1734,Leh,2025-04-02,72.18,12.8,65.0
1735,Gangtok,2025-04-02,276.75,19.2,37.0
1736,Darjeeling,2025-04-02,275.78,12.1,60.5
1737,Munnar,2025-04-02,131.15,23.1,96.0
1738,Kedarnath,2025-04-02,307.6,11.0,66.7
1739,Kargil,2025-04-02,122.43,27.3,49.5
1740,Mussoorie,2025-04-02,204.64,22.3,49.3
1741,Tawang,2025-04-02,281.88,25.8,36.6
1742,Cherrapunji,2025-04-02,244.8,20.0,58.2
1743,Pithoragarh,2025-04-02,89.86,27.6,57.3
1744,Srinagar,2025-04-02,316.32,23.6,36.4
1745,Aizawl,2025-04-02,158.02,19.2,60.1
1746,Pauri,2025-04-02,154.89,31.9,59.8
1747,Joshimath,2025-04-02,148.0,11.5,75.2
1748,Itanagar,2025-04-02,292.09,24.4,71.5
1749,Shimla,2025-04-03,104.57,13.6,37.4
1750,Manali,2025-04-03,322.17,19.1,60.6
1751,Dehradun,2025-04-03,338.6,23.1,48.3
1752,Nainital,2025-04-03,335.57,15.7,56.3
1753,Leh,2025-04-03,280.35,21.3,90.9
1754,Gangtok,2025-04-03,158.22,15.7,69.9
1755,Darjeeling,2025-04-03,313.41,8.9,91.8
1756,Munnar,2025-04-03,286.18,26.3,90.5
1757,Kedarnath,2025-04-03,323.85,16.2,66.7
1758,Kargil,2025-04-03,326.68,6.5,69.0
1759,Mussoorie,2025-04-03,316.66,12.7,77.3
1760,Tawang,2025-04-03,284.18,6.3,91.0
1761,Cherrapunji,2025-04-03,172.42,12.5,59.8
1762,Pithoragarh,2025-04-03,68.95,8.4,94.5
1763,Srinagar,2025-04-03,24.52,20.8,66.1
1764,Aizawl,2025-04-03,203.4,22.6,42.9
1765,Pauri,2025-04-03,290.4,5.5,60.5
1766,Joshimath,2025-04-03,12.27,10.6,78.1
1767,Itanagar,2025-04-03,221.37,30.8,70.4
1768,Shimla,2025-04-04,7.14,18.2,82.2
1769,Manali,2025-04-04,120.8,20.6,91.4
1770,Dehradun,2025-04-04,94.15,9.1,78.0
1771,Nainital,2025-04-04,90.18,10.6,79.3
1772,Leh,2025-04-04,127.27,9.2,38.8
1773,Gangtok,2025-04-04,39.2,16.7,81.9
1774,Darjeeling,2025-04-04,145.63,10.1,68.1
1775,Munnar,2025-04-04,48.65,22.7,89.3
1776,Kedarnath,2025-04-04,191.13,30.4,97.8
1777,Kargil,2025-04-04,292.67,25.4,97.0
1778,Mussoorie,2025-04-04,223.49,5.3,76.5
1779,Tawang,2025-04-04,169.58,30.6,43.2
1780,Cherrapunji,2025-04-04,203.65,16.8,97.1
1781,Pithoragarh,2025-04-04,171.44,25.0,77.2
